Id,PostId,RecruitPostId,RecruitPostName,CountryName,LocationName,BGName,ProductName,CategoryName,Responsibility,LastUpdateTime,PostURL,SourceID,IsCollect,IsValid
0,1123177628488962048,48982,22989-腾讯云虚拟化高级研发工程师（深圳）,中国,深圳总部,CSIG,,技术,"负责Linux内核，虚拟化，容器方面的研发工作； 、
负责Linux内核、虚拟化定制化研发工作，提升产品竞争力。",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=1123177628488962048,1,False,False
Id,PostId,RecruitPostId,RecruitPostName,CountryName,LocationName,BGName,ProductName,CategoryName,Responsibility,LastUpdateTime,PostURL,SourceID,IsCollect,IsValid
0,1139361144419389440,51066,21527-腾讯音乐投资公司管理经理（深圳）,中国,深圳,公司其他组织,,战略与投资,"1. 协助完善公司的投资项目管理数据； 
2. 协助监控公司投后项目的业绩财务表现，适当提供财务分析及风险警示； 
3. 协助建立和完善投资公司相关的管理流程和制度。
4. 负责部门投资项目文档管理等相关事项； 
5. 协助投资项目财务尽职调查，梳理分析标的公司财务情况和潜在风险。",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=0,1,False,False
0,1139361070176014336,51065,21527-腾讯音乐高级IT信息安全工程师,中国,深圳,公司其他组织,,技术,"负责TME集团IT内部的信息安全管理体系建设，协助内审内控团队对信息安全风险进行审计和评估；
梳理各项涉及信息安全的流程管理情况，针对涉及安全的风险进行有效识别、提出优化和管控的建议或方案，并推动相关部门的整改；
负责公司内部网络，系统，终端及应用的安全防护工作，进行安全检查、风险评估和安全加固；
负责内部安全事件与漏洞的监控及应急响应，并分析推动流程和机制优化；
负责安全项目的管理与推进，协助建设安全研发与运维规范，并进行安全培训。",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=0,1,False,False
0,1139355743321853952,51063,21228-女性向游戏版本管理(深圳）,中国,深圳,IEG,,产品,"负责精品手游产品运营期的版本管理工作，跟进开发排期，推进研发商按时按质完成版本内容、idip、tlog、运营功能开发工作；
跟进版本测试、版本部署、版本发布等版本流程各环节工作，保证版本稳定性；
负责日常外网问题反馈接受和处理，推动版本质量及内容优化；
负责游戏安全环境、游戏生态维护及舆情监控，有一定数据分析能力，对产品基础运营数据进行监控和输出。
",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=0,1,False,False
0,1139355244812046336,51061,29777-金融云银行行业售前架构师（北/上/深）（北京）,中国,北京,CSIG,腾讯云,技术,"为金融行业大客户和合作伙伴提供行业解决方案，具体岗位职责： 
了解金融行业，尤其是银行行业的行业发展趋势，制定有竞争力的行业解决方案； 
与商务拓展团队一起进行售前工作，了解行业客户需求，准备针对性的解决方案； 
根据方案规划，支持交付团队完成方案的落地工作，确保前期建议的项目客户价值得到实现； 
作为腾讯云的客户技术负责人，与客户高层业务、技术领导层沟通，确保腾讯云在客户处的业务持续性与客户满意度",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=0,1,False,False
0,1139355245017567232,51062,29777-金融云银行行业售前架构师（北/上/深）（上海）,中国,上海,CSIG,腾讯云,技术,"为金融行业大客户和合作伙伴提供行业解决方案，具体岗位职责： 
了解金融行业，尤其是银行行业的行业发展趋势，制定有竞争力的行业解决方案； 
与商务拓展团队一起进行售前工作，了解行业客户需求，准备针对性的解决方案； 
根据方案规划，支持交付团队完成方案的落地工作，确保前期建议的项目客户价值得到实现； 
作为腾讯云的客户技术负责人，与客户高层业务、技术领导层沟通，确保腾讯云在客户处的业务持续性与客户满意度",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=0,1,False,False
0,1139355242748448768,51057,29777-金融云银行业务架构师（北/上/深圳）（深圳）,中国,深圳,CSIG,腾讯云,技术,"为金融行业大客户和合作伙伴提供行业解决方案，具体岗位职责： 
分析金融行业，尤其是银行行业的行业发展趋势； 
从行业客户的视角切入，梳理腾讯及合作伙伴资源，制定有竞争力的行业解决方案； 
支持商务团队进行售前工作，并配合相关的售中/后等相关业务工作； 
为关键客户提供业务方案咨询服务，配合技术架构师进行方案的落地工作； 
对实施中和交付后的项目从业务角度进行跟进，确保实施项目的客户价值得到实现； 
作为腾讯云的业务解决方案代言人，承担与技术社区、客户高层领导的沟通任务，扩大腾讯云的影响力。",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=0,1,False,False
0,1139355243469869056,51058,29777-金融云银行业务架构师（北/上/深圳）（北京）,中国,北京,CSIG,腾讯云,技术,"为金融行业大客户和合作伙伴提供行业解决方案，具体岗位职责： 
分析金融行业，尤其是银行行业的行业发展趋势； 
从行业客户的视角切入，梳理腾讯及合作伙伴资源，制定有竞争力的行业解决方案； 
支持商务团队进行售前工作，并配合相关的售中/后等相关业务工作； 
为关键客户提供业务方案咨询服务，配合技术架构师进行方案的落地工作； 
对实施中和交付后的项目从业务角度进行跟进，确保实施项目的客户价值得到实现； 
作为腾讯云的业务解决方案代言人，承担与技术社区、客户高层领导的沟通任务，扩大腾讯云的影响力。",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=0,1,False,False
0,1139355243763470336,51059,29777-金融云银行业务架构师（北/上/深圳）（上海）,中国,上海,CSIG,腾讯云,技术,"为金融行业大客户和合作伙伴提供行业解决方案，具体岗位职责： 
分析金融行业，尤其是银行行业的行业发展趋势； 
从行业客户的视角切入，梳理腾讯及合作伙伴资源，制定有竞争力的行业解决方案； 
支持商务团队进行售前工作，并配合相关的售中/后等相关业务工作； 
为关键客户提供业务方案咨询服务，配合技术架构师进行方案的落地工作； 
对实施中和交付后的项目从业务角度进行跟进，确保实施项目的客户价值得到实现； 
作为腾讯云的业务解决方案代言人，承担与技术社区、客户高层领导的沟通任务，扩大腾讯云的影响力。",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=0,1,False,False
